,MapDate,Moderate,Severe,Extreme,Exceptional,other
0,20210615,5.25,9.31,52.12,33.32,0.0
1,20210608,5.25,9.55,51.88,33.32,0.0
2,20210601,5.39,20.15,48.41,26.04,0.0
3,20210525,5.39,20.15,48.41,26.04,0.0
4,20210518,5.69,20.98,57.42,15.91,0.0
5,20210511,5.69,20.98,59.81,13.53,0.0
6,20210504,4.63,19.58,67.94,5.36,2.48
7,20210427,9.56,35.09,47.5,5.36,2.49
8,20210420,11.17,35.51,44.5,5.36,3.46
9,20210413,17.16,38.29,33.32,5.36,5.87
10,20210406,22.97,34.27,30.06,5.36,7.35
11,20210330,26.64,32.26,26.4,5.36,9.34
12,20210323,26.64,32.26,26.4,5.36,9.34
13,20210316,32.03,29.05,25.79,3.75,9.379999999999999
14,20210309,32.3,29.05,25.79,3.75,9.11
15,20210302,33.91,27.44,25.79,3.75,9.11
16,20210223,27.9,27.44,25.79,3.75,15.11
17,20210216,27.3,26.59,27.24,3.75,15.11
18,20210209,27.23,26.46,27.66,3.75,14.9
19,20210202,27.54,26.79,27.9,3.75,14.01
20,20210126,19.46,36.28,35.6,3.86,4.8
21,20210119,17.08,38.66,38.27,1.19,4.8
22,20210112,16.1,39.6,38.31,1.19,4.8
23,20210105,20.85,40.51,32.65,1.19,4.8
24,20201229,20.82,40.59,32.56,1.19,4.83
25,20201222,20.82,40.59,32.56,1.19,4.83
26,20201215,20.82,40.59,32.56,1.19,4.83
27,20201208,28.38,45.5,21.3,0.0,4.83
28,20201201,26.84,28.83,19.36,0.0,24.970000000000002
29,20201124,26.84,28.83,19.36,0.0,24.97
30,20201117,29.66,25.42,15.83,0.0,29.08
31,20201110,29.66,25.42,15.83,0.0,29.09
32,20201103,31.93,22.87,12.74,0.0,32.46
33,20201027,31.93,22.87,12.74,0.0,32.46
34,20201020,31.93,22.87,12.74,0.0,32.46
35,20201013,31.93,22.87,12.74,0.0,32.46
36,20201006,31.93,22.87,12.74,0.0,32.46
37,20200929,32.03,22.88,12.74,0.0,32.35
38,20200922,31.82,31.88,3.39,0.0,32.91
39,20200915,31.83,32.09,3.17,0.0,32.91
40,20200908,21.21,29.93,3.04,0.0,45.82
41,20200901,22.6,28.74,3.04,0.0,45.620000000000005
42,20200825,22.49,28.84,3.04,0.0,45.620000000000005
43,20200818,32.5,18.67,3.04,0.0,45.79
44,20200811,28.67,18.67,3.04,0.0,49.61
45,20200804,28.88,18.45,3.04,0.0,49.620000000000005
46,20200728,28.88,18.45,3.04,0.0,49.620000000000005
47,20200721,26.71,18.45,3.04,0.0,51.78
48,20200714,26.69,19.05,2.45,0.0,51.81
49,20200707,25.9,18.39,2.45,0.0,53.26
50,20200630,25.9,18.39,2.45,0.0,53.26
51,20200623,25.9,18.39,2.45,0.0,53.26
52,20200616,25.9,18.39,2.45,0.0,53.26
53,20200609,25.9,18.39,2.45,0.0,53.26
54,20200602,25.83,17.87,2.97,0.0,53.33
55,20200526,25.83,17.87,2.97,0.0,53.33
56,20200519,25.83,17.87,2.97,0.0,53.33
57,20200512,25.83,17.85,2.99,0.0,53.33
58,20200505,23.31,15.62,3.94,0.0,57.129999999999995
59,20200428,21.99,14.93,4.66,0.0,58.41
60,20200421,16.11,14.93,4.66,0.0,64.3
61,20200414,22.87,12.83,0.0,0.0,64.3
62,20200407,42.02,1.3,0.0,0.0,56.69
63,20200331,42.02,1.3,0.0,0.0,56.68
64,20200324,39.12,1.3,0.0,0.0,59.58
65,20200317,46.32,1.26,0.0,0.0,52.41
